epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6861,1.289,1.83342,1.39293,0.58968,0.40784,0.47209,0.34035,1.20489,1.46865,1.47624,0.000415129,0.000415129,0.000415129
2,116.748,1.27803,1.42507,1.3646,0.5273,0.42902,0.43841,0.31499,1.23956,1.4286,1.43139,0.000823561,0.000823561,0.000823561
3,172.924,1.26655,1.36287,1.35314,0.39311,0.50997,0.39106,0.24422,1.29496,1.5102,1.52296,0.00122374,0.00122374,0.00122374
4,228.093,1.2506,1.33678,1.3423,0.50649,0.44141,0.45784,0.3233,1.23841,1.40856,1.47536,0.00121287,0.00121287,0.00121287
5,283.55,1.21598,1.2566,1.31424,0.55886,0.5849,0.56408,0.36107,1.21771,1.27071,1.395,0.0012005,0.0012005,0.0012005
6,338.946,1.21056,1.2301,1.30812,0.57309,0.58898,0.54404,0.39774,1.15221,1.25545,1.36055,0.00118812,0.00118812,0.00118812
7,394.404,1.19314,1.17069,1.29302,0.63913,0.56495,0.59789,0.44089,1.14947,1.12421,1.35253,0.00117575,0.00117575,0.00117575
8,450.024,1.17289,1.14797,1.29105,0.61968,0.59645,0.61087,0.45908,1.1229,1.0717,1.35487,0.00116337,0.00116337,0.00116337
9,505.649,1.14111,1.09612,1.2556,0.59861,0.60553,0.6203,0.45044,1.11719,1.04801,1.31274,0.001151,0.001151,0.001151
10,559.689,1.14499,1.0936,1.26326,0.64536,0.62591,0.62604,0.46632,1.12181,1.06048,1.34414,0.00113863,0.00113863,0.00113863
11,613.531,1.14477,1.07019,1.25638,0.6298,0.56224,0.56898,0.38532,1.11685,1.09777,1.31121,0.00112625,0.00112625,0.00112625
12,665.869,1.13742,1.04466,1.24783,0.65424,0.61931,0.64375,0.47796,1.1016,1.02838,1.31744,0.00111388,0.00111388,0.00111388
13,720.458,1.12113,1.01957,1.23977,0.67042,0.62281,0.65306,0.47265,1.1093,0.99933,1.31055,0.0011015,0.0011015,0.0011015
14,774.637,1.11101,1.00421,1.23321,0.66136,0.65087,0.66234,0.47198,1.10376,0.97946,1.31101,0.00108913,0.00108913,0.00108913
15,831.616,1.11395,0.99936,1.23518,0.65216,0.68141,0.67455,0.49446,1.06983,0.97753,1.30383,0.00107675,0.00107675,0.00107675
16,888.165,1.09796,0.98201,1.22081,0.69944,0.67117,0.6807,0.50016,1.06431,0.94715,1.28191,0.00106437,0.00106437,0.00106437
17,944.652,1.10229,0.9799,1.22391,0.71967,0.67612,0.69254,0.50743,1.0852,0.96397,1.28953,0.001052,0.001052,0.001052
18,1001.39,1.09567,0.96292,1.21484,0.73246,0.68378,0.70301,0.51088,1.05925,0.94218,1.28263,0.00103962,0.00103962,0.00103962
19,1058.09,1.08587,0.93225,1.20485,0.72744,0.66483,0.6889,0.51033,1.05813,0.95118,1.28805,0.00102725,0.00102725,0.00102725
20,1114.95,1.06489,0.91591,1.194,0.73039,0.66338,0.68859,0.50389,1.06,0.9515,1.28427,0.00101488,0.00101488,0.00101488
21,1171.38,1.08357,0.9373,1.21271,0.75474,0.68679,0.70246,0.52289,1.04911,0.9221,1.26933,0.0010025,0.0010025,0.0010025
22,1227.5,1.06199,0.91436,1.1965,0.70002,0.69443,0.6932,0.5186,1.05462,0.92723,1.27802,0.000990125,0.000990125,0.000990125
23,1280.39,1.05866,0.88911,1.1905,0.7198,0.72218,0.72437,0.53251,1.05072,0.88943,1.2666,0.00097775,0.00097775,0.00097775
24,1335.99,1.04976,0.88088,1.1868,0.73777,0.67754,0.70813,0.52931,1.05203,0.91746,1.26658,0.000965375,0.000965375,0.000965375
25,1391.64,1.04818,0.86707,1.18199,0.7527,0.69079,0.70729,0.52799,1.05243,0.91142,1.27942,0.000953,0.000953,0.000953
26,1447.01,1.04215,0.86775,1.18378,0.73677,0.69583,0.7146,0.53323,1.03335,0.89217,1.26867,0.000940625,0.000940625,0.000940625
27,1502.42,1.03538,0.84156,1.17384,0.76595,0.69543,0.72441,0.53745,1.03534,0.9017,1.26489,0.00092825,0.00092825,0.00092825
28,1557.81,1.03741,0.84876,1.17753,0.73908,0.70041,0.72418,0.53197,1.04906,0.86872,1.24669,0.000915875,0.000915875,0.000915875
29,1613.35,1.02541,0.83935,1.17146,0.75235,0.72407,0.74826,0.55124,1.02041,0.86175,1.24772,0.0009035,0.0009035,0.0009035
30,1668.39,1.01757,0.82012,1.16303,0.75033,0.73192,0.75061,0.55351,1.02087,0.83612,1.24588,0.000891125,0.000891125,0.000891125
31,1724.22,1.01742,0.81053,1.16161,0.7694,0.69859,0.74061,0.5516,1.04431,0.85577,1.25923,0.00087875,0.00087875,0.00087875
32,1779.71,1.00689,0.79645,1.16204,0.7805,0.69545,0.7436,0.54794,1.03896,0.82472,1.25725,0.000866375,0.000866375,0.000866375
33,1835.45,1.00914,0.80548,1.15357,0.77251,0.73051,0.76823,0.56364,1.00844,0.82268,1.23417,0.000854,0.000854,0.000854
34,1890.26,1.01213,0.79883,1.15752,0.81572,0.6772,0.754,0.55707,1.01549,0.84838,1.25928,0.000841625,0.000841625,0.000841625
35,1945.68,0.98541,0.77635,1.14707,0.77621,0.73004,0.7547,0.56394,1.0003,0.79228,1.23248,0.00082925,0.00082925,0.00082925
36,1998.15,0.98073,0.76374,1.13769,0.77626,0.72328,0.75984,0.56608,1.01166,0.80488,1.24645,0.000816875,0.000816875,0.000816875
37,2051.17,1.00125,0.78447,1.15311,0.79912,0.70704,0.75668,0.56979,1.00846,0.81944,1.24413,0.0008045,0.0008045,0.0008045
38,2102.99,0.98203,0.76191,1.13791,0.77661,0.72961,0.75675,0.57171,0.99834,0.79878,1.24155,0.000792125,0.000792125,0.000792125
39,2154.63,0.98217,0.75411,1.13698,0.80345,0.74128,0.7672,0.56708,1.00731,0.8041,1.24474,0.00077975,0.00077975,0.00077975
40,2207.86,0.98421,0.74577,1.13755,0.79913,0.71399,0.76952,0.57754,0.98092,0.79301,1.22417,0.000767375,0.000767375,0.000767375
41,2265.12,0.96602,0.73355,1.13133,0.78505,0.74559,0.77224,0.57815,0.98524,0.79442,1.2281,0.000755,0.000755,0.000755
42,2320.22,0.97778,0.74442,1.13155,0.79908,0.73102,0.77522,0.58614,0.98265,0.78147,1.22589,0.000742625,0.000742625,0.000742625
